permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
92,Paper,Paper,2.0,USD,IDEALPRO,92.0,,,1.0,2.202,100.0,0.0,-1.4,BOT,5m_,USD,20170201 10:30:00 EST,,0.6,99830.6,1999985.4,99830.6,2.208,100014.6,100014.6,-1.4
93,Paper,Paper,2.0,USD,IDEALPRO,93.0,,,1.0,2.203,100.0,-100.0,-2.0,SLD,5m_,USD,20170201 10:35:00 EST,,0.0,99828.6,1999765.1,99828.6,2.203,100014.6,100014.6,-2.0
94,Paper,Paper,2.0,USD,IDEALPRO,94.0,,,1.0,2.202,100.0,0.0,-1.9,BOT,5m_,USD,20170201 10:40:00 EST,,0.1,99826.7,1999985.3,99826.7,2.203,100014.7,100014.7,-1.9
95,Paper,Paper,2.0,USD,IDEALPRO,95.0,,,1.0,2.2085,100.0,-100.0,-2.0,SLD,5m_,USD,20170201 10:45:00 EST,,0.0,99824.7,1999764.45,99824.7,2.2085,100014.7,100014.7,-2.0
96,Paper,Paper,2.0,USD,IDEALPRO,96.0,,,1.0,2.207,100.0,0.0,-1.85,BOT,5m_,USD,20170202 11:20:00 EST,,0.15,99822.85,1999985.15,99822.85,2.2085,100014.85,100014.85,-1.85
97,Paper,Paper,2.0,USD,IDEALPRO,97.0,,,1.0,2.206,100.0,-100.0,-2.0,SLD,5m_,USD,20170202 11:25:00 EST,,0.0,99820.85,1999764.55,99820.85,2.206,100014.85,100014.85,-2.0
98,Paper,Paper,2.0,USD,IDEALPRO,98.0,,,1.0,2.204,100.0,0.0,-1.8,BOT,5m_,USD,20170202 11:30:00 EST,,0.2,99819.05,1999984.95,99819.05,2.206,100015.05,100015.05,-1.8
99,Paper,Paper,2.0,USD,IDEALPRO,99.0,,,1.0,2.2045,100.0,-100.0,-2.0,SLD,5m_,USD,20170202 11:35:00 EST,,0.0,99817.05,1999764.5,99817.05,2.2045,100015.05,100015.05,-2.0
100,Paper,Paper,2.0,USD,IDEALPRO,100.0,,,1.0,2.203,100.0,0.0,-1.85,BOT,5m_,USD,20170202 11:45:00 EST,,0.15,99815.2,1999984.8,99815.2,2.2045,100015.2,100015.2,-1.85
101,Paper,Paper,2.0,USD,IDEALPRO,101.0,,,1.0,2.2045,100.0,-100.0,-2.0,SLD,5m_,USD,20170202 11:50:00 EST,,0.0,99813.2,1999764.35,99813.2,2.2045,100015.2,100015.2,-2.0
102,Paper,Paper,2.0,USD,IDEALPRO,102.0,,,1.0,2.2005,100.0,0.0,-1.6,BOT,5m_,USD,20170202 11:55:00 EST,,0.4,99811.6,1999984.4,99811.6,2.2045,100015.6,100015.6,-1.6
103,Paper,Paper,2.0,USD,IDEALPRO,103.0,,,1.0,2.197,100.0,-100.0,-2.0,SLD,5m_,USD,20170202 12:00:00 EST,,0.0,99809.6,1999764.7,99809.6,2.197,100015.6,100015.6,-2.0
